Alaska,Denali,20310
California,Mount Whitney,14498
Colorado,Mount Elbert,14433
Washington,Mount Rainier,14411
Wyoming,Gannett Peak,13804
Hawaii,Mauna Kea,13796
Utah,Kings Peak,13528
New Mexico,Wheeler Peak,13161
Nevada,Boundary Peak,13140
Montana,Granite Peak,12799
Idaho,Borah Peak,12662
Arizona,Humphreys Peak,12633
Oregon,Mount Hood,11239
Texas,Guadalupe Peak,8749
South Dakota,Black Elk Peak,7231
North Carolina,Mount Mitchell,6684
Tennessee,Clingmans Dome,6643
New Hampshire,Mount Washington,6288
Virginia,Mount Rogers,5729
Nebraska,Panorama Point,5426
New York,Mount Marcy,5344
Maine,Katahdin,5268
Oklahoma,Black Mesa,4973
West Virginia,Spruce Knob,4861
Georgia,Brasstown Bald,4784
Vermont,Mount Mansfield,4393
Kentucky,Black Mountain,4139
Kansas,Mount Sunflower,4039
South Carolina,Sassafras Mountain,3554
North Dakota,White Butte,3506
Massachusetts,Mount Greylock,3487
Maryland,Backbone Mountain,3360
Pennsylvania,Mount Davis,3213
Arkansas,Magazine Mountain,2753
Alabama,Cheaha Mountain,2405
Connecticut,Mount Frissell-South Slope,2382
Minnesota,Eagle Mountain,2301
Michigan,Mount Arvon,1979
Wisconsin,Timms Hill,1951
New Jersey,High Point,1803
Missouri,Taum Sauk Mountain,1772
Iowa,Hawkeye Point,1670
Ohio,Campbell Hill,1549
Indiana,Hoosier Hill,1257
Illinois,Charles Mound,1235
Rhode Island,Jerimoth Hill,812
Mississippi,Woodall Mountain,806
Louisiana,Driskill Mountain,535
Delaware,Ebright Azimuth,450
District of Columbia,Point Reno,415
Florida,Britton Hill,345
